Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History,Occurrence_Date,Occurrence_Year,event_date,event_year,event_month,landslide_event,rainfall_mm,rainfall_3day_mm,soil_moisture
MH/RGD/47F08/2012/0001,Maharashtra,Raigarh (Raygad),Dasgaon Slide,Near 113 Km stone NH - 17,18.0915,73.36483,Debris,Slide,26 July 2005,2005-07-26,2005.0,2005-07-26,2005,7,1,96.4,190.0,0.485
KER/IDUK/58C14/2007/0022,Kerala,Idukki,Edadumuttam 2,Elappally,9.7386,76.8754,Debris,Avalanche,31 July 2005,2005-07-31,2005.0,2005-07-31,2005,7,1,38.1,92.5,0.481
MAN/TAM/83H09/2007/C-1,Manipur,Tamenglong,Khongsong slide,,24.81722,93.51722,,,16 June 2007,2007-06-16,2007.0,2007-06-16,2007,6,1,34.6,65.1,0.429
MEGH/WKH/78O07/2007/D-15,Meghalaya,West Khasi Hills,Jashiar East slide,,25.38803,91.46977,Debris,Slide,16 June 2007,2007-06-16,2007.0,2007-06-16,2007,6,1,79.6,123.9,0.485
MEGH/WKH/78O11/2007/D-14,Meghalaya,West Khasi Hills,Jakrem East slide,,25.40023,91.5159,Debris,Slide,16 June 2007,2007-06-16,2007.0,2007-06-16,2007,6,1,79.6,123.9,0.485
KER/IDUK/58C14/2007/0021,Kerala,Idukki,Edadumuttam1,Elappally,9.7409,76.8724,Debris,Slide,22 June 2007,2007-06-22,2007.0,2007-06-22,2007,6,1,105.9,193.0,0.487
KER/PALA/58B10/2007/0039,Kerala,Palakkad,Kundarachola-Cherunelli,"PadaGiri hillock, Pothundi reservoir",10.5185,76.6306,Debris,Slide,16 July 2007,2007-07-16,2007.0,2007-07-16,2007,7,1,20.3,36.2,0.476
KER/PALA/58B10/2007/0040,Kerala,Palakkad,Kundarachola-Cherunelli-2,Pothundi dam,10.5252,76.6391,Debris,Slide,16 July 2007,2007-07-16,2007.0,2007-07-16,2007,7,1,20.3,36.2,0.476
KER/PALA/58B10/2007/0041,Kerala,Palakkad,Kundarachola-cherunelli-3,Pothundi dam,10.5248,76.6413,Debris,Flow,16 July 2007,2007-07-16,2007.0,2007-07-16,2007,7,1,20.3,36.2,0.476
KER/PALA/58B10/2007/0042,Kerala,Palakkad,Cherunelli Estate,Nelliyampathy,10.5249,76.6414,Debris,Flow,16 July 2007,2007-07-16,2007.0,2007-07-16,2007,7,1,20.3,36.2,0.476
