record_id,latitude,longitude,historical_landslide_distance,historical_landslide_density
MH/RGD/47F08/2012/0001,18.0915,73.36483,2.335,14
KER/IDUK/58C14/2007/0022,9.7386,76.8754,0.417,55
MAN/TAM/83H09/2007/C-1,24.81722,93.51722,0.153,102
MEGH/WKH/78O07/2007/D-15,25.38803,91.46977,1.857,11
MEGH/WKH/78O11/2007/D-14,25.40023,91.5159,2.21,9
KER/IDUK/58C14/2007/0021,9.7409,76.8724,0.196,54
KER/PALA/58B10/2007/0039,10.5185,76.6306,0.152,132
KER/PALA/58B10/2007/0040,10.5252,76.6391,0.143,137
KER/PALA/58B10/2007/0041,10.5248,76.6413,0.016,138
KER/PALA/58B10/2007/0042,10.5249,76.6414,0.016,138
KER/PALA/58B10/2007/0043,10.5259,76.6566,0.053,132
KER/PALA/58B10/2007/0044,10.528,76.6587,0.133,132
KER/PALA/58B10/2007/0045,10.527,76.6603,0.207,132
KER/PALA/58B10/2007/0046,10.528,76.6675,0.211,132
KER/MALA/58A03/2007/0012,11.275,76.123,0.421,130
MEGH/WKH/78O07/2007/D-13,25.44465,91.34622,6.294,4
ME/EKJ/78O15/2015/134,25.320833,91.9275,0.03,92
ME/EKJ/78O15/2015/140,25.315176,91.923021,0.669,90
MEG/EKH/78O10/2021/04,25.50368056,91.72342222,0.0,27
MEGH/WKH/78O06/2007/D-9,25.50667,91.28318,0.37,61
MEGH/WKH/78O07/2007/D-10,25.31488,91.44913,0.332,19
MEGH/WKH/78O07/2007/D-11,25.31488,91.33367,1.907,6
MEGH/WKH/78O07/2007/D-12,25.31848,91.45262,0.434,19
MEGH/WKH/78O06/2007/D-6,25.5208,91.25985,0.676,63
MEGH/WKH/78O06/2007/D-7,25.51973,91.28443,1.458,62
MEGH/WKH/78O06/2007/D-8,25.50335,91.28335,0.37,58
MEGH/WGH/78K02/2007/D-19,25.51028,90.21678,0.681,5
MEGH/JH/83C08/2007/D-22,25.134194,92.383528,0.16,70
MEGH/JH/83C08/2007/D-23,25.12186,92.388583,0.406,88
NAG/KOH/83K02/2008/F-3B,25.66667,94.10972,0.31,259
ME/EKJ/78O15/2015/87,25.407917,91.998889,1.139,23
MG/SGH/78K11/2018/7,25.403061,90.724166,0.727,10
MEGH/WKH/78O07/2007/D-3,25.425,91.405,3.83,5
MEGH/WKH/78O07/2007/D-4,25.4013,91.45855,1.857,10
MEGH/WKH/78O07/2007/D-5,25.40547,91.53712,2.015,9
MAN/TAM/83H09/2007/C-2,24.98611,93.50583,0.086,53
MN/KAN/83L01/2018/47,24.997972,94.020444,0.198,6
MAN/TAM/83H05/2007/C-5,24.99306,93.4975,0.642,52
MAN/TAM/83H09/2007/C-6,24.99694,93.50222,0.642,52
MAN/TAM/83H09/2007/C-7A,24.99083,93.50583,0.0,52
MAN/TAM/83H09/2007/C-7B,24.99083,93.50583,0.0,52
MN/UKH/83L01/2018/14,24.994278,94.205917,2.491,41
MAN/CHAN/83L03/2007/C-10,24.40639,94.06583,2.608,6
MEGH/EKH/78O14/2007/D-17,25.56667,91.90194,0.584,84
MIZO/AIZ/84A10/2007/E-3,23.751694,92.731528,0.204,316
MAN/SEN/83K03/2007/C-12,25.47217,94.15433,0.265,47
MAN/TAM/83H09/2007/C-13,24.81778,93.51583,0.153,102
MAN/TAM/83H05/2007/C-14,24.84833,93.45917,0.0,89
ME/EKJ/78O14/2015/23,25.695552,91.903777,1.078,67
MEG/WKH/78O10/2016/51,25.687056,91.6485,0.039,42
MEGH/WKH/78O02/2007/D-1,25.68625,91.118358,0.954,56
MEGH/WKH/78O02/2007/D-2,25.69483,91.11836,0.954,51
MAN/TAM/83H05/2008/C-17,24.84833,93.45917,0.0,89
MAN/TAM/83H05/2008/C-18,24.90139,93.45389,1.781,56
MAN/TAM/83H05/2008/C-19,24.83278,93.46333,0.463,96
NAG/KOH/83K02/2008/F-3A,25.66083,94.10278,0.29,252
MEGH/WKH/78O04/2008/D-27,25.20283,91.20908,0.942,8
MEGH/WKH/78O04/2008/D-26,25.201,91.234,0.692,8
NAG/KOH/83K02/2008/F-4(A),25.66917,94.10722,0.132,257
7192,26.2272613,91.6922458,1.58,40
NAG/TUE/83J15/2009/F-13,26.36083,94.84,1.731,32
NAG/TUE/83J15/2009/F-12,26.37639,94.84056,1.731,33
NAG/TUE/83J15/2009/F-14,26.34417,94.83333,1.968,32
NAG/KIPH/83K13/2009/F-7,25.9,94.78917,1.389,45
NAG/KIPH/83K13/2009/F-8,25.88667,94.78639,0.189,45
MEGH/EKH/78O11/2009/D-37,25.300389,91.726722,0.068,67
MEGH/EKH/83C02/2009/D-31,25.54261,92.10867,0.397,22
MEGH/EKH/83C02/2009/D-32,25.54328,92.10478,0.207,20
MEGH/EKH/83C02/2009/D-33,25.54264,92.10214,0.208,20
MEGH/EKH/83C02/2009/D-34,25.54231,92.1,0.162,21
MEGH/EKH/83C02/2009/D-35,25.54261,92.09842,0.147,20
TRI/TRI-W/79M05/2009/G-1,23.85417,91.34361,9.243,1
LS1/2009,19.13194444,72.87472222,18.64,0
MEGH/JH/78O15/2009/D-36,25.43561,91.862056,0.269,51
NAG/TUE/83J15/2009/F-10,26.38778,94.82583,0.0,25
AS/NC/83G04/2009/B-5,26.20261,91.14528,31.145,0
