record_id,source,landslide_event,State,latitude,longitude,date,rainfall_mm,rainfall_3day_mm,soil_moisture,elevation_m,slope_deg,ndvi_mean,historical_landslide_density,historical_landslide_distance
MH/RGD/47F08/2012/0001,gsi_dated_positive,1,Maharashtra,18.0915,73.36483,2005-07-26,96.4,190.0,0.485,4.0,2.16,,14,2.335
KER/IDUK/58C14/2007/0022,gsi_dated_positive,1,Kerala,9.7386,76.8754,2005-07-31,38.1,92.5,0.481,673.0,39.1,,55,0.417
MAN/TAM/83H09/2007/C-1,gsi_dated_positive,1,Manipur,24.81722,93.51722,2007-06-16,34.6,65.1,0.429,444.0,35.71,,102,0.153
MEGH/WKH/78O07/2007/D-15,gsi_dated_positive,1,Meghalaya,25.38803,91.46977,2007-06-16,79.6,123.9,0.485,1529.0,6.33,,11,1.857
MEGH/WKH/78O11/2007/D-14,gsi_dated_positive,1,Meghalaya,25.40023,91.5159,2007-06-16,79.6,123.9,0.485,1592.0,19.84,,9,2.21
KER/IDUK/58C14/2007/0021,gsi_dated_positive,1,Kerala,9.7409,76.8724,2007-06-22,105.9,193.0,0.487,642.0,34.82,,54,0.196
KER/PALA/58B10/2007/0039,gsi_dated_positive,1,Kerala,10.5185,76.6306,2007-07-16,20.3,36.2,0.476,375.0,18.08,,132,0.152
KER/PALA/58B10/2007/0040,gsi_dated_positive,1,Kerala,10.5252,76.6391,2007-07-16,20.3,36.2,0.476,479.0,23.89,,137,0.143
KER/PALA/58B10/2007/0041,gsi_dated_positive,1,Kerala,10.5248,76.6413,2007-07-16,20.3,36.2,0.476,516.0,27.59,,138,0.016
KER/PALA/58B10/2007/0042,gsi_dated_positive,1,Kerala,10.5249,76.6414,2007-07-16,20.3,36.2,0.476,503.0,26.68,,138,0.016
KER/PALA/58B10/2007/0043,gsi_dated_positive,1,Kerala,10.5259,76.6566,2007-07-16,20.3,36.2,0.477,648.0,30.09,,132,0.053
KER/PALA/58B10/2007/0044,gsi_dated_positive,1,Kerala,10.528,76.6587,2007-07-16,20.3,36.2,0.477,632.0,27.95,,132,0.133
KER/PALA/58B10/2007/0045,gsi_dated_positive,1,Kerala,10.527,76.6603,2007-07-16,20.3,36.2,0.477,778.0,36.33,,132,0.207
KER/PALA/58B10/2007/0046,gsi_dated_positive,1,Kerala,10.528,76.6675,2007-07-16,20.3,36.2,0.477,830.0,36.1,,132,0.211
KER/MALA/58A03/2007/0012,gsi_dated_positive,1,Kerala,11.275,76.123,2007-07-17,47.4,127.7,0.482,124.0,12.79,,130,0.421
MEGH/WKH/78O07/2007/D-13,gsi_dated_positive,1,Meghalaya,25.44465,91.34622,2007-07-17,50.0,88.5,0.48,1471.0,16.2,,4,6.294
ME/EKJ/78O15/2015/134,gsi_dated_positive,1,Meghalaya,25.320833,91.9275,2007-07-19,114.7,267.4,0.485,1099.0,22.38,,92,0.03
ME/EKJ/78O15/2015/140,gsi_dated_positive,1,Meghalaya,25.315176,91.923021,2007-07-19,114.7,267.4,0.485,1031.0,36.37,,90,0.669
MEG/EKH/78O10/2021/04,gsi_dated_positive,1,Meghalaya,25.50368056,91.72342222,2007-07-19,85.0,209.2,0.484,1748.0,5.82,,27,0.0
MEGH/WKH/78O06/2007/D-9,gsi_dated_positive,1,Meghalaya,25.50667,91.28318,2007-07-19,59.9,151.0,0.482,1396.0,21.7,,61,0.37
MEGH/WKH/78O07/2007/D-10,gsi_dated_positive,1,Meghalaya,25.31488,91.44913,2007-07-19,70.5,190.5,0.482,1378.0,24.59,,19,0.332
MEGH/WKH/78O07/2007/D-11,gsi_dated_positive,1,Meghalaya,25.31488,91.33367,2007-07-19,90.2,209.6,0.484,1141.0,43.82,,6,1.907
MEGH/WKH/78O07/2007/D-12,gsi_dated_positive,1,Meghalaya,25.31848,91.45262,2007-07-19,70.5,190.5,0.482,1393.0,24.09,,19,0.434
MEGH/WKH/78O06/2007/D-6,gsi_dated_positive,1,Meghalaya,25.5208,91.25985,2007-07-25,,,,1358.0,20.86,,63,0.676
MEGH/WKH/78O06/2007/D-7,gsi_dated_positive,1,Meghalaya,25.51973,91.28443,2007-07-25,106.0,205.5,0.488,1449.0,1.38,,62,1.458
MEGH/WKH/78O06/2007/D-8,gsi_dated_positive,1,Meghalaya,25.50335,91.28335,2007-07-25,,,,1414.0,22.3,,58,0.37
MEGH/WGH/78K02/2007/D-19,gsi_dated_positive,1,Meghalaya,25.51028,90.21678,2007-07-27,59.4,173.5,0.495,325.0,11.16,,5,0.681
MEGH/JH/83C08/2007/D-22,gsi_dated_positive,1,Meghalaya,25.134194,92.383528,2007-07-31,19.1,68.1,0.474,168.0,17.74,,70,0.16
MEGH/JH/83C08/2007/D-23,gsi_dated_positive,1,Meghalaya,25.12186,92.388583,2007-07-31,15.2,53.8,0.474,113.0,34.57,,88,0.406
NAG/KOH/83K02/2008/F-3B,gsi_dated_positive,1,Nagaland,25.66667,94.10972,2007-08-12,21.3,44.3,0.482,1425.0,13.78,,259,0.31
ME/EKJ/78O15/2015/87,gsi_dated_positive,1,Meghalaya,25.407917,91.998889,2007-08-18,8.2,45.2,0.47,1522.0,9.14,,23,1.139
