record_id,latitude,longitude,date,ndvi_mean,ndvi_status
MH/RGD/47F08/2012/0001,18.0915,73.36483,2005-07-26,,failed
KER/IDUK/58C14/2007/0022,9.7386,76.8754,2005-07-31,,failed
MAN/TAM/83H09/2007/C-1,24.81722,93.51722,2007-06-16,,failed
MEGH/WKH/78O07/2007/D-15,25.38803,91.46977,2007-06-16,,failed
MEGH/WKH/78O11/2007/D-14,25.40023,91.5159,2007-06-16,,failed
KER/IDUK/58C14/2007/0021,9.7409,76.8724,2007-06-22,,failed
KER/PALA/58B10/2007/0039,10.5185,76.6306,2007-07-16,,failed
KER/PALA/58B10/2007/0040,10.5252,76.6391,2007-07-16,,failed
KER/PALA/58B10/2007/0041,10.5248,76.6413,2007-07-16,,failed
KER/PALA/58B10/2007/0042,10.5249,76.6414,2007-07-16,,failed
KER/PALA/58B10/2007/0043,10.5259,76.6566,2007-07-16,,failed
KER/PALA/58B10/2007/0044,10.528,76.6587,2007-07-16,,failed
KER/PALA/58B10/2007/0045,10.527,76.6603,2007-07-16,,failed
KER/PALA/58B10/2007/0046,10.528,76.6675,2007-07-16,,failed
KER/MALA/58A03/2007/0012,11.275,76.123,2007-07-17,,failed
MEGH/WKH/78O07/2007/D-13,25.44465,91.34622,2007-07-17,,failed
ME/EKJ/78O15/2015/134,25.320833,91.9275,2007-07-19,,failed
ME/EKJ/78O15/2015/140,25.315176,91.923021,2007-07-19,,failed
MEG/EKH/78O10/2021/04,25.50368056,91.72342222,2007-07-19,,failed
MEGH/WKH/78O06/2007/D-9,25.50667,91.28318,2007-07-19,,failed
MEGH/WKH/78O07/2007/D-10,25.31488,91.44913,2007-07-19,,failed
MEGH/WKH/78O07/2007/D-11,25.31488,91.33367,2007-07-19,,failed
MEGH/WKH/78O07/2007/D-12,25.31848,91.45262,2007-07-19,,failed
MEGH/WKH/78O06/2007/D-6,25.5208,91.25985,2007-07-25,,failed
MEGH/WKH/78O06/2007/D-7,25.51973,91.28443,2007-07-25,,failed
MEGH/WKH/78O06/2007/D-8,25.50335,91.28335,2007-07-25,,failed
MEGH/WGH/78K02/2007/D-19,25.51028,90.21678,2007-07-27,,failed
MEGH/JH/83C08/2007/D-22,25.134194,92.383528,2007-07-31,,failed
MEGH/JH/83C08/2007/D-23,25.12186,92.388583,2007-07-31,,failed
NAG/KOH/83K02/2008/F-3B,25.66667,94.10972,2007-08-12,,failed
ME/EKJ/78O15/2015/87,25.407917,91.998889,2007-08-18,,failed
MG/SGH/78K11/2018/7,25.403061,90.724166,2007-08-18,,failed
MEGH/WKH/78O07/2007/D-3,25.425,91.405,2007-08-18,,failed
MEGH/WKH/78O07/2007/D-4,25.4013,91.45855,2007-08-18,,failed
MEGH/WKH/78O07/2007/D-5,25.40547,91.53712,2007-08-18,,failed
