record_id,source,State,Latitude,Longitude,date,year,month,nearest_inventory_distance_km,landslide_event
NEG_000001,pseudo_negative,Arunachal Pradesh,27.000628,91.991005,2014-08-27,2014,8,17.7349,0
NEG_000002,pseudo_negative,Arunachal Pradesh,26.812378,92.947831,2021-09-23,2021,9,21.0204,0
NEG_000003,pseudo_negative,Arunachal Pradesh,26.821776,93.243434,2016-11-12,2016,11,14.055,0
NEG_000004,pseudo_negative,Arunachal Pradesh,26.964602,94.09792,2016-05-14,2016,5,31.1954,0
NEG_000005,pseudo_negative,Arunachal Pradesh,26.939878,94.248009,2023-08-26,2023,8,40.5504,0
NEG_000006,pseudo_negative,Arunachal Pradesh,26.996234,95.051646,2006-11-30,2006,11,16.891,0
NEG_000007,pseudo_negative,Arunachal Pradesh,27.001854,95.574727,2013-05-15,2013,5,2.6975,0
NEG_000008,pseudo_negative,Arunachal Pradesh,26.829025,96.50146,2025-11-23,2025,11,59.6458,0
NEG_000009,pseudo_negative,Arunachal Pradesh,27.153456,91.948405,2006-05-15,2006,5,33.5162,0
NEG_000010,pseudo_negative,Arunachal Pradesh,27.099205,92.636566,2012-08-08,2012,8,1.0157,0
NEG_000011,pseudo_negative,Arunachal Pradesh,27.184286,93.481462,2018-06-22,2018,6,7.0856,0
NEG_000012,pseudo_negative,Arunachal Pradesh,27.293702,94.086714,2023-06-12,2023,6,26.3585,0
NEG_000013,pseudo_negative,Arunachal Pradesh,27.252228,94.295289,2023-01-07,2023,1,60.0672,0
NEG_000014,pseudo_negative,Arunachal Pradesh,27.281147,95.244864,2015-09-22,2015,9,19.0994,0
NEG_000015,pseudo_negative,Arunachal Pradesh,27.190313,95.807656,2005-05-05,2005,5,5.1585,0
NEG_000016,pseudo_negative,Arunachal Pradesh,27.248325,96.369491,2023-08-18,2023,8,15.6478,0
NEG_000017,pseudo_negative,Arunachal Pradesh,27.515925,92.062421,2006-06-17,2006,6,4.6567,0
NEG_000018,pseudo_negative,Arunachal Pradesh,27.348688,92.612291,2026-06-07,2026,6,15.5815,0
NEG_000019,pseudo_negative,Arunachal Pradesh,27.576485,93.108668,2023-05-02,2023,5,10.7572,0
NEG_000020,pseudo_negative,Arunachal Pradesh,27.421458,93.997772,2007-09-17,2007,9,19.7924,0
NEG_000021,pseudo_negative,Arunachal Pradesh,27.524121,94.461304,2014-05-26,2014,5,27.7582,0
NEG_000022,pseudo_negative,Arunachal Pradesh,27.346444,94.886973,2021-07-23,2021,7,36.4454,0
NEG_000023,pseudo_negative,Arunachal Pradesh,27.384815,95.765506,2025-08-05,2025,8,22.0234,0
NEG_000024,pseudo_negative,Arunachal Pradesh,27.463707,96.313407,2010-08-10,2010,8,9.0461,0
NEG_000025,pseudo_negative,Arunachal Pradesh,27.717278,91.772318,2012-11-04,2012,11,14.4206,0
NEG_000026,pseudo_negative,Arunachal Pradesh,27.868693,92.776037,2015-11-08,2015,11,37.986,0
NEG_000027,pseudo_negative,Arunachal Pradesh,27.83274,93.409368,2022-05-14,2022,5,6.3297,0
NEG_000028,pseudo_negative,Arunachal Pradesh,27.643775,94.147631,2007-05-15,2007,5,15.4453,0
NEG_000029,pseudo_negative,Arunachal Pradesh,27.70181,94.568915,2017-10-06,2017,10,10.2237,0
NEG_000030,pseudo_negative,Arunachal Pradesh,27.827137,95.278867,2019-08-14,2019,8,20.5243,0
NEG_000031,pseudo_negative,Arunachal Pradesh,27.778835,95.858154,2018-07-03,2018,7,43.6966,0
NEG_000032,pseudo_negative,Arunachal Pradesh,27.628606,96.383746,2009-05-11,2009,5,16.7327,0
NEG_000033,pseudo_negative,Arunachal Pradesh,27.922645,92.083631,2022-11-06,2022,11,38.4037,0
NEG_000034,pseudo_negative,Arunachal Pradesh,28.054922,92.556349,2018-04-18,2018,4,67.1849,0
NEG_000035,pseudo_negative,Arunachal Pradesh,28.159462,93.263307,2015-05-25,2015,5,30.3509,0
NEG_000036,pseudo_negative,Arunachal Pradesh,28.028779,93.891172,2014-07-30,2014,7,22.0031,0
NEG_000037,pseudo_negative,Arunachal Pradesh,28.025132,94.374502,2025-07-11,2025,7,10.319,0
NEG_000038,pseudo_negative,Arunachal Pradesh,28.015557,94.844363,2013-11-25,2013,11,13.1428,0
NEG_000039,pseudo_negative,Arunachal Pradesh,27.932849,95.7985,2011-08-04,2011,8,26.7195,0
NEG_000040,pseudo_negative,Arunachal Pradesh,27.971891,96.486749,2021-08-23,2021,8,6.6538,0
NEG_000041,pseudo_negative,Arunachal Pradesh,28.200774,92.288083,2026-05-08,2026,5,74.494,0
NEG_000042,pseudo_negative,Arunachal Pradesh,28.324592,92.571325,2011-09-25,2011,9,92.2993,0
NEG_000043,pseudo_negative,Arunachal Pradesh,28.258762,93.556315,2018-07-10,2018,7,42.5734,0
NEG_000044,pseudo_negative,Arunachal Pradesh,28.241821,94.168453,2008-05-06,2008,5,5.1342,0
NEG_000045,pseudo_negative,Arunachal Pradesh,28.291428,94.826159,2008-08-28,2008,8,3.7503,0
NEG_000046,pseudo_negative,Arunachal Pradesh,28.417623,95.387195,2007-06-16,2007,6,13.6512,0
NEG_000047,pseudo_negative,Arunachal Pradesh,28.384729,95.865511,2014-05-12,2014,5,5.6077,0
NEG_000048,pseudo_negative,Arunachal Pradesh,28.377744,96.239588,2005-05-30,2005,5,26.1199,0
NEG_000049,pseudo_negative,Arunachal Pradesh,28.481861,92.235222,2024-05-05,2024,5,102.3009,0
NEG_000050,pseudo_negative,Arunachal Pradesh,28.613851,92.884908,2005-06-06,2005,6,92.2042,0
NEG_000051,pseudo_negative,Arunachal Pradesh,28.663151,93.5681,2015-05-16,2015,5,79.1295,0
NEG_000052,pseudo_negative,Arunachal Pradesh,28.451725,93.728633,2011-08-05,2011,8,53.4993,0
NEG_000053,pseudo_negative,Arunachal Pradesh,28.481604,94.523532,2025-07-22,2025,7,9.3543,0
NEG_000054,pseudo_negative,Arunachal Pradesh,28.503189,95.33158,2005-08-23,2005,8,10.2801,0
NEG_000055,pseudo_negative,Arunachal Pradesh,28.484159,95.530592,2017-06-28,2017,6,24.131,0
NEG_000056,pseudo_negative,Arunachal Pradesh,28.531207,96.380379,2016-11-20,2016,11,33.1108,0
NEG_000057,pseudo_negative,Arunachal Pradesh,28.804118,92.29356,2015-07-01,2015,7,9999.0,0
NEG_000058,pseudo_negative,Arunachal Pradesh,28.900359,92.406312,2020-07-05,2020,7,145.5352,0
NEG_000059,pseudo_negative,Arunachal Pradesh,28.99237,93.334125,2008-09-28,2008,9,120.1923,0
NEG_000060,pseudo_negative,Arunachal Pradesh,28.854224,94.074261,2023-05-01,2023,5,42.925,0
NEG_000061,pseudo_negative,Arunachal Pradesh,28.954485,94.704398,2015-07-08,2015,7,17.4717,0
NEG_000062,pseudo_negative,Arunachal Pradesh,28.892616,95.371189,2021-06-19,2021,6,41.1074,0
NEG_000063,pseudo_negative,Arunachal Pradesh,28.828415,95.718707,2007-10-21,2007,10,13.6826,0
NEG_000064,pseudo_negative,Arunachal Pradesh,28.85049,96.230484,2010-08-08,2010,8,24.1416,0
NEG_000065,pseudo_negative,Arunachal Pradesh,27.012429,91.783294,2024-08-03,2024,8,36.0749,0
NEG_000066,pseudo_negative,Arunachal Pradesh,26.826778,92.85384,2012-05-10,2012,5,12.9627,0
NEG_000067,pseudo_negative,Arunachal Pradesh,27.041341,93.066075,2008-05-09,2008,5,15.0866,0
NEG_000068,pseudo_negative,Arunachal Pradesh,26.818281,93.598809,2020-05-02,2020,5,20.573,0
NEG_000069,pseudo_negative,Arunachal Pradesh,26.801081,94.576339,2016-06-21,2016,6,11.8534,0
NEG_000070,pseudo_negative,Arunachal Pradesh,26.874359,95.145041,2021-10-28,2021,10,7.195,0
NEG_000071,pseudo_negative,Arunachal Pradesh,26.798338,95.566546,2024-05-08,2024,5,9.7464,0
NEG_000072,pseudo_negative,Arunachal Pradesh,26.944488,96.33535,2011-06-02,2011,6,43.1423,0
NEG_000073,pseudo_negative,Arunachal Pradesh,27.208268,91.781049,2007-05-26,2007,5,34.3278,0
NEG_000074,pseudo_negative,Arunachal Pradesh,27.319341,92.402088,2023-11-26,2023,11,2.3104,0
NEG_000075,pseudo_negative,Arunachal Pradesh,27.334496,93.462377,2017-08-25,2017,8,4.6175,0
NEG_000076,pseudo_negative,Arunachal Pradesh,27.278952,93.669418,2023-07-17,2023,7,6.2666,0
NEG_000077,pseudo_negative,Arunachal Pradesh,27.300712,94.496428,2022-08-12,2022,8,44.9431,0
NEG_000078,pseudo_negative,Arunachal Pradesh,27.137017,94.917931,2014-07-15,2014,7,36.0174,0
NEG_000079,pseudo_negative,Arunachal Pradesh,27.16469,96.280081,2014-08-12,2014,8,16.5857,0
NEG_000080,pseudo_negative,Arunachal Pradesh,27.422367,92.308534,2019-07-29,2019,7,8.9325,0
NEG_000081,pseudo_negative,Arunachal Pradesh,27.431086,92.673756,2026-08-27,2026,8,16.2293,0
NEG_000082,pseudo_negative,Arunachal Pradesh,27.562912,93.2947,2021-06-19,2021,6,24.7094,0
NEG_000083,pseudo_negative,Arunachal Pradesh,27.543666,93.711665,2018-10-22,2018,10,8.6185,0
NEG_000084,pseudo_negative,Arunachal Pradesh,27.376737,94.590807,2018-08-03,2018,8,33.6036,0
NEG_000085,pseudo_negative,Arunachal Pradesh,27.363552,95.413653,2020-11-05,2020,11,19.8946,0
NEG_000086,pseudo_negative,Arunachal Pradesh,27.561941,95.823185,2014-09-24,2014,9,33.3421,0
NEG_000087,pseudo_negative,Arunachal Pradesh,27.602135,96.233936,2020-05-19,2020,5,21.5945,0
NEG_000088,pseudo_negative,Arunachal Pradesh,27.787715,91.824396,2007-07-18,2007,7,21.506,0
NEG_000089,pseudo_negative,Arunachal Pradesh,27.746126,92.665785,2021-09-23,2021,9,35.039,0
NEG_000090,pseudo_negative,Arunachal Pradesh,27.753373,93.336336,2008-05-29,2008,5,8.0298,0
NEG_000091,pseudo_negative,Arunachal Pradesh,27.799263,94.468913,2025-08-25,2025,8,22.5707,0
NEG_000092,pseudo_negative,Arunachal Pradesh,27.709475,95.390259,2022-05-24,2022,5,31.8267,0
NEG_000093,pseudo_negative,Arunachal Pradesh,27.717937,95.649319,2011-05-05,2011,5,50.5176,0
NEG_000094,pseudo_negative,Arunachal Pradesh,27.876322,96.348824,2021-08-12,2021,8,1.0998,0
NEG_000095,pseudo_negative,Arunachal Pradesh,28.047149,92.300616,2012-07-25,2012,7,60.0458,0
NEG_000096,pseudo_negative,Arunachal Pradesh,27.998234,92.954686,2005-11-22,2005,11,42.1694,0
NEG_000097,pseudo_negative,Arunachal Pradesh,27.92682,93.492579,2024-05-20,2024,5,6.874,0
NEG_000098,pseudo_negative,Arunachal Pradesh,28.056915,94.012828,2016-07-01,2016,7,19.3663,0
NEG_000099,pseudo_negative,Arunachal Pradesh,28.122586,94.392174,2026-07-15,2026,7,17.9638,0
NEG_000100,pseudo_negative,Arunachal Pradesh,27.977622,95.402758,2021-05-25,2021,5,13.9769,0
NEG_000101,pseudo_negative,Arunachal Pradesh,28.170116,96.000957,2020-09-09,2020,9,10.9009,0
NEG_000102,pseudo_negative,Arunachal Pradesh,27.92348,96.698246,2005-08-21,2005,8,23.0328,0
NEG_000103,pseudo_negative,Arunachal Pradesh,28.195983,92.276267,2023-05-01,2023,5,73.5319,0
NEG_000104,pseudo_negative,Arunachal Pradesh,28.210544,92.824018,2022-11-06,2022,11,63.5662,0
NEG_000105,pseudo_negative,Arunachal Pradesh,28.352677,92.985526,2005-05-01,2005,5,62.6099,0
NEG_000106,pseudo_negative,Arunachal Pradesh,28.338735,94.08467,2026-10-08,2026,10,17.1053,0
NEG_000107,pseudo_negative,Arunachal Pradesh,28.42787,95.311646,2023-09-21,2023,9,6.4733,0
NEG_000108,pseudo_negative,Arunachal Pradesh,28.182057,95.579175,2007-07-04,2007,7,6.3173,0
NEG_000109,pseudo_negative,Arunachal Pradesh,28.377301,96.468437,2006-05-27,2006,5,14.7236,0
NEG_000110,pseudo_negative,Arunachal Pradesh,28.651303,91.837939,2005-08-09,2005,8,9999.0,0
NEG_000111,pseudo_negative,Arunachal Pradesh,28.719312,92.721144,2016-08-02,2016,8,110.7717,0
NEG_000112,pseudo_negative,Arunachal Pradesh,28.459594,93.513507,2015-05-22,2015,5,63.2014,0
NEG_000113,pseudo_negative,Arunachal Pradesh,28.473266,93.699916,2013-07-31,2013,7,57.0749,0
NEG_000114,pseudo_negative,Arunachal Pradesh,28.664999,94.604523,2024-05-18,2024,5,13.8481,0
NEG_000115,pseudo_negative,Arunachal Pradesh,28.709846,95.018532,2014-08-18,2014,8,2.333,0
NEG_000116,pseudo_negative,Arunachal Pradesh,28.627656,96.039183,2008-07-05,2008,7,17.2479,0
NEG_000117,pseudo_negative,Arunachal Pradesh,28.559754,96.371404,2007-05-04,2007,5,36.0392,0
NEG_000118,pseudo_negative,Arunachal Pradesh,28.8018,91.907464,2018-08-14,2018,8,9999.0,0
NEG_000119,pseudo_negative,Arunachal Pradesh,28.90054,92.596784,2008-05-13,2008,5,134.234,0
NEG_000120,pseudo_negative,Arunachal Pradesh,28.887712,93.160409,2025-07-02,2025,7,111.3618,0
NEG_000121,pseudo_negative,Arunachal Pradesh,28.856094,93.726103,2007-07-18,2007,7,67.5945,0
NEG_000122,pseudo_negative,Arunachal Pradesh,28.919197,94.611708,2017-06-20,2017,6,20.8216,0
NEG_000123,pseudo_negative,Arunachal Pradesh,28.942855,95.172822,2009-08-14,2009,8,31.5771,0
NEG_000124,pseudo_negative,Arunachal Pradesh,28.824669,95.772787,2022-11-23,2022,11,9.1478,0
NEG_000125,pseudo_negative,Arunachal Pradesh,28.97986,96.389749,2021-09-16,2021,9,41.3706,0
NEG_000126,pseudo_negative,Arunachal Pradesh,26.873378,92.239126,2013-05-16,2013,5,11.6926,0
NEG_000127,pseudo_negative,Arunachal Pradesh,26.806253,92.864629,2023-05-02,2023,5,15.4224,0
NEG_000128,pseudo_negative,Arunachal Pradesh,26.878828,93.070721,2021-08-10,2021,8,20.036,0
NEG_000129,pseudo_negative,Arunachal Pradesh,26.790364,94.100667,2020-06-26,2020,6,31.8334,0
NEG_000130,pseudo_negative,Arunachal Pradesh,26.828838,94.582377,2019-06-04,2019,6,14.3065,0
NEG_000131,pseudo_negative,Arunachal Pradesh,27.051714,95.450715,2014-06-24,2014,6,6.7412,0
NEG_000132,pseudo_negative,Arunachal Pradesh,26.976732,95.892748,2021-08-13,2021,8,17.3316,0
NEG_000133,pseudo_negative,Arunachal Pradesh,26.789269,96.206337,2021-05-17,2021,5,57.0694,0
NEG_000134,pseudo_negative,Arunachal Pradesh,27.10917,92.238455,2025-07-31,2025,7,24.0014,0
NEG_000135,pseudo_negative,Arunachal Pradesh,27.295588,92.956983,2019-07-05,2019,7,7.9754,0
NEG_000136,pseudo_negative,Arunachal Pradesh,27.17194,93.012851,2023-07-24,2023,7,7.2048,0
NEG_000137,pseudo_negative,Arunachal Pradesh,27.193196,93.679456,2011-11-06,2011,11,2.8649,0
NEG_000138,pseudo_negative,Arunachal Pradesh,27.075591,94.353256,2009-07-10,2009,7,47.0637,0
NEG_000139,pseudo_negative,Arunachal Pradesh,27.225629,95.138045,2005-05-03,2005,5,27.1607,0
NEG_000140,pseudo_negative,Arunachal Pradesh,27.296839,95.850522,2017-08-21,2017,8,9.4813,0
NEG_000141,pseudo_negative,Arunachal Pradesh,27.274495,96.112351,2020-07-12,2020,7,1.3505,0
NEG_000142,pseudo_negative,Arunachal Pradesh,27.433882,92.243545,2012-08-15,2012,8,7.2913,0
NEG_000143,pseudo_negative,Arunachal Pradesh,27.576101,92.654677,2014-08-29,2014,8,27.5739,0
NEG_000144,pseudo_negative,Arunachal Pradesh,27.575619,93.175072,2017-07-16,2017,7,21.0261,0
NEG_000145,pseudo_negative,Arunachal Pradesh,27.369226,93.833794,2026-08-29,2026,8,3.7867,0
NEG_000146,pseudo_negative,Arunachal Pradesh,27.38931,94.419257,2011-04-06,2011,4,40.8995,0
NEG_000147,pseudo_negative,Arunachal Pradesh,27.596994,95.109975,2014-08-10,2014,8,19.5849,0
NEG_000148,pseudo_negative,Arunachal Pradesh,27.342179,95.626644,2008-08-22,2008,8,18.6989,0
NEG_000149,pseudo_negative,Arunachal Pradesh,27.612043,96.462426,2024-08-15,2024,8,15.8813,0
NEG_000150,pseudo_negative,Arunachal Pradesh,27.867239,92.166473,2011-09-29,2011,9,36.0965,0
NEG_000151,pseudo_negative,Arunachal Pradesh,27.857123,92.411422,2016-07-23,2016,7,50.1396,0
NEG_000152,pseudo_negative,Arunachal Pradesh,27.770252,93.370275,2014-11-30,2014,11,4.9252,0
NEG_000153,pseudo_negative,Arunachal Pradesh,27.6969,94.0425,2026-06-23,2026,6,6.3979,0
NEG_000154,pseudo_negative,Arunachal Pradesh,27.651385,94.233769,2016-07-25,2016,7,20.5443,0
NEG_000155,pseudo_negative,Arunachal Pradesh,27.890005,95.120414,2012-06-30,2012,6,6.0536,0
NEG_000156,pseudo_negative,Arunachal Pradesh,27.836875,95.50635,2009-09-17,2009,9,31.2124,0
NEG_000157,pseudo_negative,Arunachal Pradesh,27.873158,96.588338,2010-06-02,2010,6,21.4911,0
NEG_000158,pseudo_negative,Arunachal Pradesh,27.907496,91.785787,2025-08-21,2025,8,35.3492,0
NEG_000159,pseudo_negative,Arunachal Pradesh,28.108275,92.879238,2021-09-23,2021,9,53.3269,0
NEG_000160,pseudo_negative,Arunachal Pradesh,27.907569,93.109039,2007-10-20,2007,10,25.6832,0
NEG_000161,pseudo_negative,Arunachal Pradesh,27.895256,93.906067,2010-04-21,2010,4,7.2319,0
NEG_000162,pseudo_negative,Arunachal Pradesh,28.005156,94.765925,2018-05-21,2018,5,9.4616,0
NEG_000163,pseudo_negative,Arunachal Pradesh,28.130169,95.047602,2022-06-26,2022,6,5.4312,0
NEG_000164,pseudo_negative,Arunachal Pradesh,28.057486,95.700687,2007-11-09,2007,11,18.1238,0
NEG_000165,pseudo_negative,Arunachal Pradesh,27.94596,96.128978,2019-08-11,2019,8,20.0802,0
NEG_000166,pseudo_negative,Arunachal Pradesh,28.394538,92.339595,2019-06-09,2019,6,96.2809,0
NEG_000167,pseudo_negative,Arunachal Pradesh,28.208827,92.698311,2009-08-31,2009,8,75.6186,0
NEG_000168,pseudo_negative,Arunachal Pradesh,28.335769,93.207311,2015-07-29,2015,7,50.6678,0
NEG_000169,pseudo_negative,Arunachal Pradesh,28.208148,93.813138,2006-05-03,2006,5,43.413,0
NEG_000170,pseudo_negative,Arunachal Pradesh,28.175831,94.490501,2026-06-20,2026,6,12.7847,0
NEG_000171,pseudo_negative,Arunachal Pradesh,28.287353,95.428141,2026-07-24,2026,7,11.7576,0
NEG_000172,pseudo_negative,Arunachal Pradesh,28.249735,96.012038,2013-06-08,2013,6,7.2222,0
NEG_000173,pseudo_negative,Arunachal Pradesh,28.422683,96.405881,2026-08-24,2026,8,22.5086,0
NEG_000174,pseudo_negative,Arunachal Pradesh,28.628821,91.90415,2023-06-08,2023,6,9999.0,0
NEG_000175,pseudo_negative,Arunachal Pradesh,28.490912,92.884754,2005-07-09,2005,7,80.8248,0
NEG_000176,pseudo_negative,Arunachal Pradesh,28.667185,93.451044,2018-07-14,2018,7,85.2817,0
NEG_000177,pseudo_negative,Arunachal Pradesh,28.723326,94.005668,2010-11-25,2010,11,36.7573,0
NEG_000178,pseudo_negative,Arunachal Pradesh,28.665971,94.323573,2008-05-18,2008,5,15.4098,0
NEG_000179,pseudo_negative,Arunachal Pradesh,28.628678,95.425738,2022-07-16,2022,7,25.7651,0
NEG_000180,pseudo_negative,Arunachal Pradesh,28.457791,96.051126,2021-05-04,2021,5,14.2729,0
NEG_000181,pseudo_negative,Arunachal Pradesh,28.516008,96.116973,2026-07-15,2026,7,23.2596,0
NEG_000182,pseudo_negative,Arunachal Pradesh,28.811353,91.749474,2023-06-04,2023,6,9999.0,0
NEG_000183,pseudo_negative,Arunachal Pradesh,28.741555,92.775093,2014-06-07,2014,6,109.9145,0
NEG_000184,pseudo_negative,Arunachal Pradesh,28.833938,93.222404,2008-05-01,2008,5,104.4802,0
NEG_000185,pseudo_negative,Arunachal Pradesh,28.963717,93.58641,2007-07-16,2007,7,85.5378,0
NEG_000186,pseudo_negative,Arunachal Pradesh,28.817036,94.476832,2017-09-24,2017,9,33.4334,0
NEG_000187,pseudo_negative,Arunachal Pradesh,28.796891,95.0317,2018-07-08,2018,7,10.3454,0
NEG_000188,pseudo_negative,Arunachal Pradesh,28.914007,95.595657,2021-11-10,2021,11,21.4564,0
NEG_000189,pseudo_negative,Arunachal Pradesh,28.738244,96.363061,2024-05-23,2024,5,39.7092,0
NEG_000190,pseudo_negative,Arunachal Pradesh,26.799417,91.803796,2005-01-29,2005,1,33.0379,0
NEG_000191,pseudo_negative,Arunachal Pradesh,26.83845,92.359855,2008-08-04,2008,8,24.2086,0
NEG_000192,pseudo_negative,Arunachal Pradesh,26.853215,93.317419,2010-10-19,2010,10,12.0546,0
NEG_000193,pseudo_negative,Arunachal Pradesh,26.787611,94.116977,2016-05-20,2016,5,30.4316,0
