latitude,longitude,elevation_m,slope_deg,terrain_status
18.0915,73.36483,4.0,2.16,ok
9.7386,76.8754,673.0,39.1,ok
24.81722,93.51722,444.0,35.71,ok
25.38803,91.46977,1529.0,6.33,ok
25.40023,91.5159,1592.0,19.84,ok
9.7409,76.8724,642.0,34.82,ok
10.5185,76.6306,375.0,18.08,ok
10.5252,76.6391,479.0,23.89,ok
10.5248,76.6413,516.0,27.59,ok
10.5249,76.6414,503.0,26.68,ok
10.5259,76.6566,648.0,30.09,ok
10.528,76.6587,632.0,27.95,ok
10.527,76.6603,778.0,36.33,ok
10.528,76.6675,830.0,36.1,ok
11.275,76.123,124.0,12.79,ok
25.44465,91.34622,1471.0,16.2,ok
25.32083,91.9275,1099.0,22.38,ok
25.31518,91.92302,1031.0,36.37,ok
25.50368,91.72342,1748.0,5.82,ok
25.50667,91.28318,1396.0,21.7,ok
25.31488,91.44913,1378.0,24.59,ok
25.31488,91.33367,1141.0,43.82,ok
25.31848,91.45262,1393.0,24.09,ok
25.5208,91.25985,1358.0,20.86,ok
9.8222,76.8433,458.0,21.75,ok
9.823,76.8397,434.0,22.54,ok
9.8116,76.8508,469.0,24.09,ok
9.74295,76.82049,741.0,30.71,ok
9.74324,76.81922,670.0,39.58,ok
9.73146,76.81583,473.0,31.08,ok
18.487,73.42174,648.0,21.74,ok
18.48218,73.06859,19.0,10.05,ok
18.38809,73.38825,256.0,28.12,ok
18.38631,73.38888,256.0,36.26,ok
18.39955,73.3856,423.0,17.1,ok
18.47662,73.45907,615.0,20.68,ok
18.39979,73.37968,172.0,17.1,ok
11.44089,76.39384,684.0,45.72,ok
11.34773,76.09553,756.0,13.13,ok
11.39624,76.48404,1937.0,25.01,ok
11.49187,76.43095,888.0,10.74,ok
11.43076,76.49177,1197.0,15.6,ok
11.49304,76.4536,876.0,21.06,ok
11.49327,76.45347,877.0,19.88,ok
11.47851,76.4215,886.0,9.84,ok
11.45208,76.4072,782.0,44.39,ok
11.44234,76.39845,685.0,26.9,ok
11.43808,76.39306,641.0,15.02,ok
11.43791,76.39236,626.0,7.28,ok
11.49763,76.49743,1001.0,5.98,ok
11.49257,76.45335,843.0,19.99,ok
11.4921,76.4997,1102.0,13.66,ok
11.42336,76.46347,1115.0,25.36,ok
25.40792,91.99889,1522.0,9.14,ok
25.40547,91.53712,1461.0,17.19,ok
25.30039,91.72672,1519.0,23.46,ok
25.43561,91.86206,1635.0,21.88,ok
25.281,91.57331,1325.0,14.54,ok
25.296,91.932,1090.0,26.36,ok
25.36526,91.8785,1545.0,20.74,ok
25.39296,91.55163,1415.0,21.01,ok
25.30128,91.92199,1192.0,27.36,ok
25.42228,91.86769,1713.0,32.8,ok
25.43481,91.85953,1805.0,32.59,ok
25.48717,91.81936,1724.0,7.37,ok
25.42316,91.86329,1740.0,39.57,ok
25.3662,91.76721,1608.0,35.24,ok
25.35504,91.76752,1621.0,39.0,ok
25.34042,91.77414,1436.0,34.11,ok
25.00157,91.83455,12.0,4.19,ok
25.04566,91.59378,8.0,0.93,ok
25.45757,91.72218,1786.0,12.79,ok
25.2433,91.62628,236.0,16.6,ok
25.08999,91.70476,10.0,5.43,ok
25.41907,91.79891,1908.0,8.34,ok
25.20014,91.88882,489.0,8.34,ok
25.41064,91.69937,1733.0,13.36,ok
25.15385,91.71787,17.0,1.85,ok
25.47462,91.92359,1883.0,21.0,ok
25.25564,91.5275,1043.0,12.52,ok
25.00182,91.79707,9.0,0.93,ok
25.14662,91.62788,18.0,2.78,ok
25.23251,91.53563,811.0,4.23,ok
25.01563,91.72184,13.0,0.93,ok
25.09192,91.73274,12.0,0.93,ok
25.05717,91.92933,13.0,2.96,ok
25.27469,91.51738,643.0,32.54,ok
25.37065,91.81787,980.0,36.25,ok
25.41048,91.74144,1682.0,34.58,ok
25.10428,91.6191,16.0,1.85,ok
25.35912,91.62386,1463.0,22.76,ok
25.3545,91.90374,1551.0,9.32,ok
25.41835,91.55113,1606.0,21.59,ok
25.4319,91.96443,1686.0,15.86,ok
25.01468,91.77992,11.0,1.85,ok
25.06234,91.52611,9.0,2.76,ok
25.08324,91.82088,13.0,1.38,ok
25.2614,91.85154,856.0,31.14,ok
25.46293,91.5347,1575.0,21.66,ok
25.47313,91.89108,1822.0,7.14,ok
25.01862,91.60362,9.0,4.14,ok
25.08503,91.70123,10.0,2.76,ok
25.17539,91.84251,21.0,1.38,ok
25.32598,91.82775,733.0,26.37,ok
25.39111,91.83647,1732.0,11.16,ok
25.14775,91.53048,19.0,7.19,ok
25.30073,91.66173,1001.0,37.36,ok
25.23385,91.8822,340.0,31.47,ok
25.38108,91.6963,1741.0,21.77,ok
25.1287,91.60712,15.0,3.21,ok
25.06982,91.7999,8.0,0.93,ok
25.21837,91.51152,251.0,17.98,ok
25.48177,91.52712,1686.0,10.14,ok
25.47457,91.7909,1714.0,14.54,ok
25.07086,91.8299,11.0,4.73,ok
25.35755,91.56082,1627.0,6.3,ok
25.44245,91.54581,1513.0,8.02,ok
25.15174,91.62929,18.0,3.21,ok
25.33792,91.70882,1468.0,41.75,ok
25.31613,91.99122,255.0,29.6,ok
25.46175,91.80545,1637.0,4.62,ok
25.11142,91.94743,11.0,1.38,ok
25.2481,91.51601,467.0,33.72,ok
25.33239,91.78609,1212.0,37.37,ok
25.45103,91.64854,1637.0,19.94,ok
25.40627,91.89433,1234.0,35.39,ok
25.425,91.405,1563.0,19.75,ok
25.4013,91.45855,1563.0,25.07,ok
25.20283,91.20908,50.0,15.03,ok
25.201,91.234,18.0,1.38,ok
25.31458,91.45242,1308.0,45.09,ok
25.23211,91.37253,418.0,15.65,ok
25.22194,91.38422,240.0,20.49,ok
25.18689,91.39856,77.0,16.68,ok
25.40289,91.43424,1527.0,17.11,ok
25.37129,91.48003,1567.0,9.58,ok
25.29967,91.46108,1047.0,17.95,ok
25.29739,91.46201,1082.0,14.85,ok
25.28247,91.36413,973.0,35.85,ok
25.28091,91.36585,993.0,27.85,ok
25.49552,91.49585,1584.0,18.28,ok
25.21703,91.29526,216.0,29.62,ok
25.06137,91.47875,18.0,1.38,ok
25.01859,91.29289,11.0,0.93,ok
25.1788,91.43599,58.0,10.03,ok
25.24657,91.4165,423.0,19.7,ok
25.02824,91.18585,5.0,1.38,ok
25.47259,91.22341,1160.0,26.2,ok
25.15773,91.39146,18.0,1.38,ok
25.16188,91.28334,14.0,3.7,ok
25.24309,91.32782,740.0,19.67,ok
25.01723,91.34101,8.0,2.05,ok
25.31359,91.25196,918.0,25.74,ok
25.42714,91.11115,864.0,6.77,ok
25.21017,91.32864,115.0,17.1,ok
25.0185,91.30912,8.0,1.02,ok
25.06466,91.40018,14.0,1.38,ok
25.35578,91.04785,334.0,11.5,ok
25.22708,91.15034,487.0,14.9,ok
25.42265,91.25028,1282.0,32.14,ok
25.14061,91.08,4.0,4.8,ok
25.31712,91.40265,851.0,25.88,ok
25.49122,91.18969,1305.0,9.19,ok
25.19257,91.29814,15.0,1.38,ok
25.23142,91.07489,346.0,8.23,ok
25.26127,91.48227,363.0,27.03,ok
25.41542,91.35669,1529.0,5.54,ok
25.067,91.39216,13.0,3.21,ok
25.2447,91.00677,488.0,9.54,ok
25.24915,91.30272,1044.0,8.34,ok
25.3651,91.41833,1452.0,29.42,ok
25.41578,91.31368,1446.0,15.52,ok
25.11498,91.31729,14.0,4.19,ok
25.3273,91.36844,1432.0,8.82,ok
25.42836,91.09433,764.0,15.49,ok
25.04383,91.12877,8.0,1.38,ok
25.12067,91.32334,10.0,1.38,ok
25.2729,91.3981,240.0,31.3,ok
25.43818,91.31863,1471.0,17.86,ok
25.15592,91.08524,1.0,0.0,ok
25.17152,91.48546,43.0,11.13,ok
25.26154,91.03039,295.0,8.92,ok
25.35258,91.15538,753.0,1.38,ok
25.38628,91.33182,1445.0,22.82,ok
25.00373,91.02436,7.0,2.25,ok
25.00833,91.21138,8.0,1.38,ok
25.20668,91.15712,225.0,15.49,ok
25.3455,91.06987,609.0,2.05,ok
25.3657,91.1776,901.0,5.51,ok
25.43668,91.45837,1533.0,5.19,ok
25.10686,91.04484,6.0,0.93,ok
25.12708,91.16941,6.0,2.05,ok
25.11072,91.42296,12.0,1.38,ok
25.29014,91.00126,322.0,3.45,ok
25.27096,91.27254,291.0,26.42,ok
25.46328,91.39803,1493.0,10.49,ok
24.98611,93.50583,1235.0,21.87,ok
24.99694,93.50222,1186.0,14.69,ok
24.99083,93.50583,1206.0,15.77,ok
24.81778,93.51583,460.0,28.86,ok
24.73133,93.92739,788.0,13.46,ok
24.86244,93.61064,380.0,8.21,ok
24.86469,93.62117,350.0,9.24,ok
24.86297,93.62397,351.0,20.71,ok
24.79233,93.65822,447.0,34.02,ok
24.985,93.52114,1043.0,20.98,ok
24.79083,93.72333,1053.0,42.71,ok
24.98517,93.50831,1238.0,18.55,ok
24.78169,93.77606,991.0,19.18,ok
24.51786,93.55087,1019.0,13.67,ok
24.52309,93.57207,758.0,16.12,ok
24.84651,93.57353,383.0,46.04,ok
24.86392,93.61785,382.0,36.69,ok
24.73453,93.55187,907.0,29.71,ok
24.68558,93.68167,859.0,8.11,ok
24.50439,93.84022,771.0,3.06,ok
24.90022,93.65106,527.0,25.79,ok
24.77359,93.51547,722.0,18.57,ok
24.67994,93.63754,666.0,16.67,ok
24.91839,93.56784,705.0,41.67,ok
24.78549,93.81881,789.0,3.19,ok
24.5234,93.93283,778.0,3.06,ok
24.76771,93.79345,806.0,6.86,ok
24.77135,93.52236,785.0,17.5,ok
24.80982,93.93027,783.0,0.93,ok
24.85379,93.99494,784.0,2.75,ok
24.57922,93.51644,891.0,31.2,ok
24.59523,93.78886,770.0,2.78,ok
24.54678,93.65429,754.0,14.19,ok
24.73863,93.86275,774.0,1.38,ok
24.77142,93.72167,1270.0,29.92,ok
24.93432,93.90821,808.0,7.99,ok
24.61037,93.83872,772.0,1.38,ok
24.87394,93.80668,873.0,5.5,ok
24.95767,93.52661,653.0,11.72,ok
24.64846,93.79042,773.0,7.64,ok
24.92006,93.64504,614.0,25.94,ok
24.96896,93.8876,863.0,2.11,ok
24.99459,93.80875,1689.0,12.41,ok
24.62125,93.8938,773.0,4.8,ok
24.87035,93.83019,809.0,3.44,ok
24.9253,93.93652,1150.0,27.76,ok
24.99515,93.99262,871.0,17.38,ok
24.5929,93.67506,615.0,20.58,ok
24.63458,93.86172,774.0,2.75,ok
24.87337,93.91429,797.0,10.97,ok
24.99046,93.91238,864.0,3.84,ok
24.61594,93.56998,1461.0,23.07,ok
24.71997,93.62419,961.0,20.23,ok
24.67937,93.93005,773.0,2.11,ok
24.89251,93.54432,671.0,37.85,ok
24.96308,93.79129,2096.0,17.44,ok
24.99033,93.97249,1204.0,28.16,ok
24.63815,93.50371,1072.0,33.95,ok
24.72137,93.934,773.0,2.04,ok
24.82496,93.65451,708.0,30.22,ok
24.93423,93.88759,810.0,1.38,ok
24.6898,93.64818,837.0,13.71,ok
24.54614,93.85444,771.0,0.93,ok
24.95442,93.52819,722.0,26.68,ok
24.93439,93.94016,1026.0,16.1,ok
24.74767,93.60034,432.0,22.84,ok
24.65963,93.87032,774.0,0.93,ok
24.90838,93.75345,1929.0,33.36,ok
24.80366,93.96616,780.0,2.24,ok
24.54557,93.50652,1294.0,32.42,ok
24.62239,93.79137,778.0,3.57,ok
