Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History,Occurrence_Date,Occurrence_Year,landslide_event
5984,HP/KUL/53E06/2016/73,Himachal Pradesh,Kullu,,Maringa,31.648335,77.396785,Rock,Fall,1905,,1905.0,1
5969,HP/KUL/53E06/2016/74,Himachal Pradesh,Kullu,,Rupa,31.643344,77.389657,Rock,Fall,1905,,1905.0,1
5967,HP/KUL/53E06/2016/75,Himachal Pradesh,Kullu,,Rupa,31.642571,77.388943,Rock,Slide,1905,,1905.0,1
5979,HP/KUL/53E06/2016/77,Himachal Pradesh,Kullu,,Muringa P.F.,31.646668,77.398615,Rock,Slide,1905,,1905.0,1
24197,NG/KOH/83K2/2015/174,Nagaland,Kohima,,NH-29,25.538,94.135,Debris,Subsidence,1940,,1940.0,1
24583,NG/KOH/83K2/2015/219,Nagaland,Kohima,,,25.685,94.059,Rock,Slide,1940,,1940.0,1
24558,NG/KOH/83K2/2015/237,Nagaland,Kohima,,NH-29,25.679,94.07,Debris,Composite,1940,,1940.0,1
1210,AR/ES/82P/8/2021/01,Arunachal Pradesh,East Siang,Renging,National Highway 229,28.14116,95.27472,Debris/unconsolidat ed material,Debris slide and subsidence,1950,,1950.0,1
1211,AR/ES/82P/8/2021/02,Arunachal Pradesh,East Siang,Renging,National Highway 229,28.14251,95.27439,Debris/unconsolidat ed material,Debris slide and subsidence,1950,,1950.0,1
13399,KER/MALA/58A04/2007/0011,Kerala,Malappuram,Chengara-Kottavurmala,Kavanur,10.8505,76.2711,Debris,Slide,"1956, 1994, 17 July 2007",,1956.0,1
24555,NG/KOH/83K2/2015/226,Nagaland,Kohima,,"Keziekie colony, Kohima Town",25.678,94.109,Debris,Slide,1956,,1956.0,1
13877,KRL/KAN/48P12/2016/72,Kerala,Kannur,Pottenthodu-1,Pottenthodu-Karinmbinkadam Road,11.875272,75.831086,Debris,Slide,1957,,1957.0,1
13838,KRL/KAN/48P12/2016/94,Kerala,Wayanad,Edattana Koshale,,11.812206,75.901883,Debris,Slide,1958,,1958.0,1
13840,KRL/KAN/48P12/2016/95,Kerala,Wayanad,Edattana Koshale,,11.813381,75.899742,Debris,Slide,1958,,1958.0,1
13507,KRL/PAL/58A12/2016/62,Kerala,Palakkad,Mele Tuddikki,Mele Tuddikki,11.168286,76.523019,Debris,Flow,1960,,1960.0,1
13508,KRL/PAL/58A12/2016/63,Kerala,Palakkad,Galassi,Galassi,11.168853,76.531131,Debris,Flow,1960,,1960.0,1
13496,KRL/PAL/58A12/2016/32,Kerala,Palakkad,Mele Abannur,Mele Abannur,11.096811,76.556542,Rock,Slide,1961,,1961.0,1
13468,KRL/PAL/58A12/2016/36,Kerala,Palakkad,Ommala,Ommala,11.072628,76.600061,Debris,Slide,1961,,1961.0,1
13469,KRL/PAL/58A12/2016/37,Kerala,Palakkad,Ommala,Ommala,11.073681,76.599097,Debris,Slide,1961,,1961.0,1
13438,KRL/PAL/58A12/2016/43,Kerala,Palakkad,Kozhikuddam,Kozhikuddam,11.038639,76.674542,Rock cum Debris,Slide,1961,,1961.0,1
13739,KRL/WAY/58A02/2015/103,Kerala,Wayanad,Poothakolly-2,Poothakolly Road,11.559564,76.136561,Debris,Slide,1961,,1961.0,1
13721,KRL/WAY/58A02/2015/66,Kerala,Wayanad,Near Chembera parking area,Chembra Peak Road,11.552539,76.0895,Debris,Slide,1961,,1961.0,1
13725,KRL/WAY/58A02/2015/67,Kerala,Wayanad,Chembera1,Chembra Peak Road,11.554256,76.0928,Debris,Slide,1961,,1961.0,1
13699,KRL/WAY/58A02/2015/73,Kerala,Wayanad,1st Mile,Mepadi-Churalmala Road,11.541958,76.137411,Debris,Slide,1961,,1961.0,1
13702,KRL/WAY/58A02/2015/78,Kerala,Wayanad,Thazhe Arepetta,Kozhokode - Vythiri-Gudallur Highway,11.54315,76.154031,Debris,Slide,1961,,1961.0,1
13841,KRL/WAY/58A01/2015/49,Kerala,Wayanad,Mudramoola,Ondayangadi - Mudramoola Road,11.817508,76.031861,Debris,Slide,1962,,1962.0,1
24363,NG/KOH/83K2/2015/236,Nagaland,Kohima,,"NH-29, Phesema village",25.623,94.113,Debris,Composite,1962,,1962.0,1
24559,NG/KOH/83K2/2015/221,Nagaland,Kohima,,"Keziekie colony, Kohima Town",25.679,94.108,Debris,Composite,1964,,1964.0,1
13855,KRL/KAN/48P12/2016/83,Kerala,Kannur,Mudavangodu-24th Mile,Nedumpoyil-Mananthavady Rd,11.850967,75.755111,Debris,Slide,1965,,1965.0,1
24534,NG/KOH/83K2/2015/202,Nagaland,Kohima,,"Daklane colony, Kohima Town",25.672,94.106,Debris,Slide,1965,,1965.0,1
24503,NG/KOH/83K2/2015/51,Nagaland,Kohima,,"Army cantonement, Kohima Town",25.668,94.107,Debris,Slide,1965,,1965.0,1
24520,NG/KOH/83K2/2015/93,Nagaland,Kohima,,"D'Block colony, Kohima Town",25.67,94.109,Debris,Slide,1965,,1965.0,1
