Slide_No,State,District,Toposheet,Latitude,Longitude,Length,Width,Height,Area,Activity,Geomorphol,Lithology,LULC,Triggering,Year,Basin,Sub_Basin,Source,feature_id,geometry_type
SK /NAM /78A8 /2023 /26,SIKKIM,NAMCHI,78A8,27.1113,88.3395,42.493,41.565,73.8453063965,1407.88164804,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.157,MultiPolygon
SK /NAM /78A8 /2023 /18,SIKKIM,NAMCHI,78A8,27.1053,88.3712,58.945,29.882,47.5126342773,1202.04266369,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.148,MultiPolygon
SK /NAM /78A8 /2023 /14,SIKKIM,NAMCHI,78A8,27.1123,88.3966,113.936,32.143,970.509521484,2560.59015237,Active,Moderately Dissected Structural Hills and Valleys,CHLORITE SERICITE SCHIST AND QUARTZITE,Wasteland - Sparse Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.144,MultiPolygon
SK /SRG /78A4 /2023 /3,SIKKIM,SORENG,78A4,27.1243,88.1232,67.864,36.495,143.75012207,1855.72569511,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.2,MultiPolygon
SK /SRG /78A4 /2023 /4,SIKKIM,SORENG,78A4,27.126,88.1304,57.689,36.495,21.8739013672,1265.88307816,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.3,MultiPolygon
SK /SRG /78A4 /2023 /5,SIKKIM,SORENG,78A4,27.1263,88.1302,35.762,22.853,20.0,613.637691026,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.4,MultiPolygon
SK /SRG /78A4 /2023 /31,SIKKIM,SORENG,78A4,27.1266,88.1298,57.446,21.186,37.0,753.270459682,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Wasteland - Dense Scrub Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.36,MultiPolygon
SK /SRG /78A4 /2023 /37,SIKKIM,SORENG,78A4,27.1229,88.1312,135.898,76.548,242.057800293,7082.88174632,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Agriculture - Single crop Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.43,MultiPolygon
SK /SRG /78A4 /2023 /40,SIKKIM,SORENG,78A4,27.1162,88.142,148.59,49.04,254.52746582,4600.90495533,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Agriculture - Single crop Land,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.46,MultiPolygon
SK /SRG /78A4 /2023 /7,SIKKIM,SORENG,78A4,27.1279,88.1666,43.429,22.145,27.9973144531,766.690739481,Active,Moderately Dissected Structural Hills and Valleys,"BANDED MIGMATITE, GARNET BT GNEISS,MICA SCHIST",Semi- Evergreen Open Forest,Rainfall,2023,Brahmaputra Basin,Brahmaputra Lower,"RESOURCESAT-2 LISS IV, 10m CARTODEM, Geomorphology 50K, LULC 10k(2018-2023), India-WRIS",LS_SIKKIM_2023.6,MultiPolygon
